# Elements 1e+06
[00001.942 ms] [1.644725] sumSeq
[00000.741 ms] [1.644726] sumOpenmp [2 threads; schedule auto 16384]
[00000.740 ms] [1.644726] sumOpenmp [2 threads; schedule auto 32768]
[00000.738 ms] [1.644726] sumOpenmp [2 threads; schedule auto 65536]
[00001.309 ms] [1.644728] sumOpenmp [4 threads; schedule static 64]
[00001.274 ms] [1.644728] sumOpenmp [4 threads; schedule static 128]
[00000.686 ms] [1.644728] sumOpenmp [4 threads; schedule static 256]
[00000.506 ms] [1.644728] sumOpenmp [4 threads; schedule static 512]
[00000.507 ms] [1.644728] sumOpenmp [4 threads; schedule static 1024]
[00000.506 ms] [1.644728] sumOpenmp [4 threads; schedule static 2048]
[00000.404 ms] [1.644728] sumOpenmp [4 threads; schedule static 4096]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule static 8192]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule static 16384]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule static 32768]
[00000.409 ms] [1.644728] sumOpenmp [4 threads; schedule static 65536]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 64]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 128]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 256]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 512]
[00000.380 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 1024]
[00000.375 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 2048]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 4096]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 8192]
[00000.381 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 16384]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 32768]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule dynamic 65536]
[00000.395 ms] [1.644728] sumOpenmp [4 threads; schedule guided 64]
[00000.391 ms] [1.644728] sumOpenmp [4 threads; schedule guided 128]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule guided 256]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule guided 512]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule guided 1024]
[00000.375 ms] [1.644728] sumOpenmp [4 threads; schedule guided 2048]
[00000.379 ms] [1.644728] sumOpenmp [4 threads; schedule guided 4096]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule guided 8192]
[00000.378 ms] [1.644728] sumOpenmp [4 threads; schedule guided 16384]
[00000.380 ms] [1.644728] sumOpenmp [4 threads; schedule guided 32768]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule guided 65536]
[00000.378 ms] [1.644728] sumOpenmp [4 threads; schedule auto 64]
[00000.380 ms] [1.644728] sumOpenmp [4 threads; schedule auto 128]
[00000.406 ms] [1.644728] sumOpenmp [4 threads; schedule auto 256]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule auto 512]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule auto 1024]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule auto 2048]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule auto 4096]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule auto 8192]
[00000.376 ms] [1.644728] sumOpenmp [4 threads; schedule auto 16384]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule auto 32768]
[00000.377 ms] [1.644728] sumOpenmp [4 threads; schedule auto 65536]
[00000.686 ms] [1.644732] sumOpenmp [8 threads; schedule static 64]
[00000.640 ms] [1.644732] sumOpenmp [8 threads; schedule static 128]
[00000.609 ms] [1.644732] sumOpenmp [8 threads; schedule static 256]
[00000.363 ms] [1.644732] sumOpenmp [8 threads; schedule static 512]
[00000.364 ms] [1.644732] sumOpenmp [8 threads; schedule static 1024]
[00000.364 ms] [1.644732] sumOpenmp [8 threads; schedule static 2048]
[00000.365 ms] [1.644732] sumOpenmp [8 threads; schedule static 4096]
[00000.366 ms] [1.644732] sumOpenmp [8 threads; schedule static 8192]
[00000.254 ms] [1.644732] sumOpenmp [8 threads; schedule static 16384]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule static 32768]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule static 65536]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 64]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 128]
[00000.193 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 256]
[00000.193 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 512]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 1024]
[00000.214 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 2048]
[00000.216 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 4096]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 8192]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 16384]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 32768]
[00000.214 ms] [1.644732] sumOpenmp [8 threads; schedule dynamic 65536]
[00000.213 ms] [1.644732] sumOpenmp [8 threads; schedule guided 64]
[00000.206 ms] [1.644732] sumOpenmp [8 threads; schedule guided 128]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule guided 256]
[00000.206 ms] [1.644732] sumOpenmp [8 threads; schedule guided 512]
[00000.212 ms] [1.644732] sumOpenmp [8 threads; schedule guided 1024]
[00000.216 ms] [1.644732] sumOpenmp [8 threads; schedule guided 2048]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule guided 4096]
[00000.214 ms] [1.644732] sumOpenmp [8 threads; schedule guided 8192]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule guided 16384]
[00000.209 ms] [1.644732] sumOpenmp [8 threads; schedule guided 32768]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule guided 65536]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule auto 64]
[00000.202 ms] [1.644732] sumOpenmp [8 threads; schedule auto 128]
[00000.212 ms] [1.644732] sumOpenmp [8 threads; schedule auto 256]
[00000.192 ms] [1.644732] sumOpenmp [8 threads; schedule auto 512]
[00000.206 ms] [1.644732] sumOpenmp [8 threads; schedule auto 1024]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule auto 2048]
[00000.214 ms] [1.644732] sumOpenmp [8 threads; schedule auto 4096]
[00000.215 ms] [1.644732] sumOpenmp [8 threads; schedule auto 8192]
[00000.214 ms] [1.644732] sumOpenmp [8 threads; schedule auto 16384]
[00000.220 ms] [1.644732] sumOpenmp [8 threads; schedule auto 32768]
[00000.220 ms] [1.644732] sumOpenmp [8 threads; schedule auto 65536]
[00000.392 ms] [1.644740] sumOpenmp [16 threads; schedule static 64]
[00000.328 ms] [1.644740] sumOpenmp [16 threads; schedule static 128]
[00000.328 ms] [1.644740] sumOpenmp [16 threads; schedule static 256]
[00000.326 ms] [1.644740] sumOpenmp [16 threads; schedule static 512]
[00000.329 ms] [1.644740] sumOpenmp [16 threads; schedule static 1024]
[00000.328 ms] [1.644740] sumOpenmp [16 threads; schedule static 2048]
[00000.325 ms] [1.644740] sumOpenmp [16 threads; schedule static 4096]
[00000.294 ms] [1.644740] sumOpenmp [16 threads; schedule static 8192]
[00000.131 ms] [1.644740] sumOpenmp [16 threads; schedule static 16384]
[00000.133 ms] [1.644740] sumOpenmp [16 threads; schedule static 32768]
[00000.133 ms] [1.644740] sumOpenmp [16 threads; schedule static 65536]
[00000.132 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 64]
[00000.133 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 128]
[00000.174 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 256]
[00000.323 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 512]
[00000.324 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 1024]
[00000.325 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 2048]
[00000.296 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 4096]
[00000.287 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 8192]
[00000.286 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 16384]
[00000.287 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 32768]
[00000.285 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 65536]
[00000.285 ms] [1.644740] sumOpenmp [16 threads; schedule guided 64]
[00000.288 ms] [1.644740] sumOpenmp [16 threads; schedule guided 128]
[00000.134 ms] [1.644740] sumOpenmp [16 threads; schedule guided 256]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule guided 512]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule guided 1024]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule guided 2048]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule guided 4096]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule guided 8192]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule guided 16384]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule guided 32768]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule guided 65536]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule auto 64]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule auto 128]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule auto 256]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule auto 512]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule auto 1024]
[00000.115 ms] [1.644740] sumOpenmp [16 threads; schedule auto 2048]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule auto 4096]
[00000.116 ms] [1.644740] sumOpenmp [16 threads; schedule auto 8192]
[00000.116 ms] [1.644740] sumOpenmp [16 threads; schedule auto 16384]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule auto 32768]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule auto 65536]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule static 64]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule static 128]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule static 256]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule static 512]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule static 1024]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule static 2048]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule static 4096]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule static 8192]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule static 16384]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule static 32768]
[00000.114 ms] [1.644740] sumOpenmp [16 threads; schedule static 65536]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 64]
[00000.113 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 128]
[00000.112 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 256]
[00000.312 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 512]
[00000.327 ms] [1.644740] sumOpenmp [16 threads; schedule dynamic 1024]
